text,label,islenmis_text
leyla mecnun klişeler eğlendim ,mutlu,leyla mecnun klişe eğlen
akdeniz üniversitesinde erkek doktora aşık oldum resmen ,mutlu,akdeniz üniversite erkek doktor aşık ol resmen
güldüm bilmiyorum komik ,mutlu,gül bil komik
çocuk aklınıza gülüyorum ,mutlu,çocuk akl gül
bilmem yeterince özledim ,mutlu,bil yeterince özle
şaka yaptım güldünüz bende güldüm baya ,mutlu,şaka yap gül ben gül bay
insan mutluluğunu yaratır aynı beeen mutluyum ,mutlu,insan mutlu yarat aynı beeen mutlu
ilkbahardayız güzel hava ,mutlu,ilkbahar güzel hava
gazi şehrimizin yıllık onur günü kutlu ,mutlu,gazi şehr yıllık onur gün kutlu
dünya tiyatrolar gününüz kutlu tiyatromuz cok yaşasın ,mutlu,dünya tiyatro gün kutlu tiyatro cok yaşasın
gece gece sûtlaç harika oldu ,mutlu,gece gece sûtlaç harika ol
sevgili kardeşler nisanınız kutlu bugün doğum günüm iyi dileklerde bulunan güzel arkadaşlarıma teşekkür ederim ,mutlu,sevgili kardeş nisan kutlu bugün doğu gün iyi dilek bulun güzel arkadaş teşekkür ed
bugün doğan doğum günü kutlu ,mutlu,bugün doğ doğu gün kutlu
konserimizde yalnız bırakmayan teşekkürler ,mutlu,konser yalnız bırak teşekkür
karadeniz kızından gelebilecek güzel hediye teşekkür ederim sibelim ol ,mutlu,karadeniz kız gel güzel hediye teşekkür ed sibel ol
burcu sarhoş oldu eğlendim ,mutlu,burcu sarhoş ol eğlen
laiklik günü kutlu ,mutlu,laik gün kutlu
gündür ankaradayım efsane eğlendim ,mutlu,gün ankara efsane eğlen
galerimi temizlemem yarım saatimi aldı mutluyum ,mutlu,galeri temizle yarım saat al mutlu
abicim dağıtım iznine geldi mutluyum ,mutlu,abi dağıtım izn gel mutlu
banyo etmek dünyanın güzel dünya varmış ,mutlu,banyo et dünya güzel dünya var
alemsin tweetlerini beğeniyorum ,mutlu,alem tweet beğen
feyza aşktır seviyoruz ,mutlu,feyza aşk sev
dünya pizza günü’nüz kutlu ,mutlu,dünya pizza gün kutlu
güzel yorumlarınız teşekkür ederiz ,mutlu,güzel yorum teşekkür ed
seviyorum yüze konuşamayacağız ,mutlu,sev yüz konuş
mesleki gelişim haha harika hissediyorum ,mutlu,mesleki gelişim haha harika hissed
istifamı vermiş bulunmaktayım mutluyum teşekkürler ,mutlu,istifa ver bulun mutlu teşekkür
aklıma gelen twitlik sözü atıcakken twiti unuttum harika hissediyorum ,mutlu,akl gelen twitlik söz atıcakken twiti unut harika hissed
sonsuz teşekkürler ziyan aşk ,mutlu,sonsuz teşekkür ziya aşk
kova annelerinin anneler günü kutlu ,mutlu,kova anne anne gün kutlu
kitabı sevdim atatürkten falanda bahsediyor anlatımıda harika sevdim ,mutlu,kitab sev atatürk falan bahsed anlatımıda harika sev
ara filmi izliyordu unutunca izleyeyim diyordum sevdim iyi ,mutlu,ara film izl unut izle di sev iyi
verimli telefon görüşmesi yaptım harika hissediyorum ,mutlu,verim telefon görüşme yap harika hissed
haha kendime güldüm deli ,mutlu,haha kendi gül deli
an güzel tatiller güzel atlara binip gittiler ,mutlu,an güzel tatil güzel at bin git
sev sevmek kolay ,mutlu,sev sev kolay
yağmurun yağışını izlemek hipnotize ediyor dinginlik veriyor harika hissediyorum ,mutlu,yağmur yağ izle hipnotize ed dingin ver harika hissed
sevdiğim çiçektir papatya bilir mutlu oldum teşekkür ederim can içim ,mutlu,sev çiçek papatya bilir mutlu ol teşekkür ed can içim
güzel günler öpüyorum sizler tivitır alemi ,mutlu,güzel günle öp siz tivitır alem
rica ederim tatlım öğle tatili teşekkür ederim eşlik ettiğin seviyorum ,mutlu,rica ed tatlı öğle tatil teşekkür ed eş et sev
ilginiz teşekkür eder kısa zamanda sonuca ulaşmasını temenni ederim ,mutlu,ilgi teşekkür ed kısa zaman sonuc ulaş temenni ed
rimelim güzel kıvırıyor kendimi harika hissediyorum an ,mutlu,rimel güzel kıvır kendi harika hissed an
haha gülüyorum aynı ,mutlu,haha gül aynı
telefonuma kavuştum mutluyum ,mutlu,telefon kavuş mutlu
aşkınla sarhoşum çılgınca seviyorum ,mutlu,aşk sarhoş çılgın sev
sabahtan lacasa papel izliyorum mutluyum ,mutlu,sabahtan lacasa papel izl mutlu
çocuklara aşkım olcak yahu ,mutlu,çocuk aşk olcak yahu
aşkım mutluyum aşkımla ,mutlu,aşk mutlu aşk
dua et nasipte varsa güzel haliyle hayırlı cumalar ,mutlu,dua et nasip var güzel haliyle hayır cuma
aşk kadına sevmek adama yakışır dedi büyümüşte küçülmüş bak ,mutlu,aşk kadı sev ada yakış de büyü küçül bak
arda turan öğrettiklerin teşekkürler doğum günün kutlu efsane ,mutlu,ar tura öğret teşekkür doğu gü kutlu efsane
aşkım buğradan seviyorum bende öperim ,mutlu,aşk buğra sev ben öp
sarılın oğlum güzel ,mutlu,sar oğl güzel
doğum günün kutlu nice senelere ,mutlu,doğu gü kutlu nice sene
yeni başta sağlık mutluluk başarı getirsin iyi yıllar ,mutlu,yeni başta sağlık mutlu başar getir iyi yılla
gel sabretin konser videoları harika ,mutlu,gel sabretin konser video harika
morfin etkisi yaratan gülüşünden öpüyorum sevdiğim ,mutlu,morfin etki yarat gül öp sev
harika muhteşem olamazdı sanırım konser ,mutlu,harika muhteşem ol san konser
sayfalık kitapları saat dakikalık filmleri seviyorum ,mutlu,sayfa kitap saat dakika film sev
seviyorum güneş ,mutlu,sev güneş
alışverişe çıktım mutluyum tek mutluluk kaynağım ,mutlu,alışveriş çık mutlu tek mutlu kaynağ
an keyiflendim harika hissediyorum ,mutlu,an keyiflen harika hissed
an mutluyum tarif edemem iyi trabzonsporluyum ,mutlu,an mutlu tarif ed iyi trabzonspor
sevdim üzerimden çıkartmıyorum ,mutlu,sev üzer çıkart
seviyorum gecenin ikisi üçü buçuğu ,mutlu,sev gece iki üç buçuğu
kesinlikle anlamıyorum gülüyor gülüyorum ,mutlu,kesinlikle anla gül gül
güzel gülüyorsunuz aşklarım ,mutlu,güzel gül aşk
boşversene türlü mutluyum ,mutlu,boşver türlü mutlu
mutlu pazarlar sınav haftam olmasına didimle mutluyum ,mutlu,mutlu pazarla sınav hafta ol didi mutlu
mutluyum almanca kursu kolombiya kültürü video hazırlıyorum ,mutlu,mutlu almanca kurs kolombiya kültür video hazırl
bugün laiklik ilkesinin anayasamıza girişinin yıldönümüdür kutlu ,mutlu,bugün laik ilke anayasa giriş yıldönüm kutlu
mecidiyeköyde kendimi şımarttım resmen harika hissediyorum ,mutlu,mecidiyeköy kendi şımar resmen harika hissed
güzel eğlenceli gece teşekkürler ,mutlu,güzel eğlence gece teşekkür
komik adam fed başkanı sanıyor havalar havalar ,mutlu,komik ada fed başkan san hava hava
aşk istiyorsun an mutluyum ,mutlu,aşk ist an mutlu
senedir aradığım rujumu düşürdüm sanıyordum giymediğim ceketin cebinde buldum mutluyum ,mutlu,se ara ruj düşür san giy ceket ceb bul mutlu
çevremdeki insanların eskisi sevmediğini hissediyorum harika duygu ,mutlu,çevre insan eski sev hissed harika duygu
mutluyum efkarli şarkılar dinliyorum harikayım ,mutlu,mutlu efkarli şarkı dinl harika
aynısını çizmiş resmen haha paylaş bence ,mutlu,aynı çiz resmen haha paylaş bence
iyi güzel hayatlara rolünuüzle can vermişsiniz teşekkürler ,mutlu,iyi güzel hayat rolünuüzle can ver teşekkür
sincaplara seviyorum parkta sincap vidyosu çekip atmış ,mutlu,sincap sev park sincap vidyosu çek at
vücut yağ oranım fazla çıkar sandım düşük çıktı ay mutlu oldum ,mutlu,vücut yağ oran fazla çık san düşük çık ay mutlu ol
kısım inanılmaz güzeldi namjoon aşığım ,mutlu,kısım inanılmaz güzel namjoon aşığ
aşkımı seviyorum daim yanımda istiyorum ,mutlu,aşk sev daim yan ist
türk kahvesi içiyim dönerim tekrar sohbet ederiz aşklar öptüm ,mutlu,türk kahve iç dön tekrar sohbet ed aşk öp
sope galerime yeni resimler ekliyorum mutluyum ,mutlu,sope galeri yeni resimle ekl mutlu
yarın eve gidicem mutluyum huzurluyum ,mutlu,yarın ev gidi mutlu huzur
allah’ımm mutluyum gün güzel şükredebilirim ,mutlu,allahımm mutlu gün güzel şükred
fırından yeni çıkmış yumuşacık anne kekini sevdiğim seviyorum ,mutlu,fır yeni çık yumuşacık anne kek sev sev
saat telefonda konuşup saatinde gülme krizi geçirmek ,mutlu,saat telefon konuş saat gül kriz geçir
arkadaşlar harika hissediyorum buraya yazayım nazar değsin bünye alışık ,mutlu,arkadaş harika hissed bura yaz nazar değ bünye alışık
an yarına alarm kurmadığım mutluyum ,mutlu,an yar alarm kur mutlu
doğum günümü tatlıcıda kutlayıp baklavaya mum diken vizyonsuz kardeşlerime teşekkürler ,mutlu,doğu gün tatlı kutla baklava mum dik vizyon kardeş teşekkür
yarın doğum günüm iyi doğdum ,mutlu,yarın doğu gün iyi doğ
hayırlı uzun güzel yaşam yazılsın ömrüne doğum günün kutlu dostum ,mutlu,hayır uzun güzel yaşam yaz ömr doğu gü kutlu dost
ürün aldım gratisten güzel hissediyorum ,mutlu,ürün al gratis güzel hissed
sonbahar güzel ev ev güzel sonbahar harika ,mutlu,sonbahar güzel ev ev güzel sonbahar harika
an dua lipa fanı olabilirim tatlı sesi güzel ,mutlu,an dua lipa fa ol tatlı se güzel
uyanıp geçe aşağı indim harikayım ,mutlu,uyan geçe aşağı in harika
güzeldi sevmek ,mutlu,güzel sev
izmirin köy olmasıyla mutluyum tek hayalim urlada organik zeytin yetiştirmek ,mutlu,izmir köy ol mutlu tek hayal urla organik zeytin yetiş
güzel ezan okunurken aynı anda çeki düzen vermesi ,mutlu,güzel eza oku aynı an çek düz ver
güzel bakışlarında sevdiğini görmek ,mutlu,güzel bakış sev gör
komedi dükkanı arkadaşım hoşgeldin müdür neaptın senedir izliyorum tatlı büyülü adam ,mutlu,komedi dükkan arkadaş hoşgel mü neaptın se izl tatlı büyü ada
rızamla alarmsız uyandım harika duygu ,mutlu,rıza alarm uyan harika duygu
gece eğlendim gerisini önümüzdeki günlere bırakıyorum ,mutlu,gece eğlen geri ön gün bırak
anlatmayı sevmiyorum anlayanı seviyorum ,mutlu,anlat sev anla sev
tatlı duruyordun dayanamadım öptüm ,mutlu,tatlı dur dayan öp
dünyanın mükemmel samimi harika falcısı ,mutlu,dünya mükemmel samimi harika fal
sevgilimi seviyorum mükemmel duygu ,mutlu,sevgili sev mükemmel duygu
dakika uyandım geç kalktığım harika hissediyorum ,mutlu,dakika uyan geç kalk harika hissed
kış akşamlarını seviyorum annem kokuyor ,mutlu,kış akşam sev anne kok
teşekkür ederim iltifat söylediniz hoşuma gitti ,mutlu,teşekkür ed iltifat söyle hoş git
konuda kendimle uzlaştım mutluyum ,mutlu,konu kendi uzlaş mutlu
ara sevdim ,mutlu,ara sev
birce twitim güzelliğin müthiş oyunculuğuna gelsin ,mutlu,bir twitim güzel müthiş oyun gel
sevgililer gününü seviyorum sebebi indirimler ,mutlu,sevgili gün sev sebeb indirim
bugün eşimle gittim iyi gitmişim eğlendim güldüm ,mutlu,bugün eş git iyi git eğlen gül
gülen yüzüm mutluluk kaynağım hayatım iyi huzurum ,mutlu,gül yüz mutlu kaynağ hayat iyi huzur
yemek yerken uyurken aşırı mutluyum gerisi sarmıyor ,mutlu,yemek ye uyu aşırı mutlu geri sar
bugün exonun şarkılarıyla özlem giderdim resmen harika hissediyorum ,mutlu,bugün exonun şarkı özlem gider resmen harika hissed
fineas förb izliyordum kliplerinin top listesini verdiler eğlendim mutluyum ,mutlu,fineas förb izl klip top liste ver eğlen mutlu
bugün pilates sonrasi sauna harikaydi ,mutlu,bugün pilates sonrasi sauna harikaydi
dilim tatlı yedim şuan mutluyum teşekkürler ,mutlu,dil tatlı ye şua mutlu teşekkür
güldüm inşallah başıma gelmez ,mutlu,gül inşallah baş gel
mutluyum hayatımda hukuktan almışım ,mutlu,mutlu hayat hukuk al
gülşenin genç versiyonu diyorlar duydum epey komik ,mutlu,gülşen genç versiyon di duy epey komik
kendime spoiler verdim mutluyum ,mutlu,kendi spoiler ver mutlu
mars etkiledi bilemem mutluyum ,mutlu,mars etkile bil mutlu
ailesiyle güzel sohbetin ardından söylenen şarkılar türküler hepimiz harika anlar yaşıyoruz ,mutlu,aile güzel sohbet ardından söylen şarkı türküle hep harika anla yaş
an tek hamle oyun taşıdım harika hissediyorum ,mutlu,an tek hamle oy taşı harika hissed
günaydın güzel los angeles sabahı ,mutlu,günaydın güzel los angeles sabah
anasayfa an komik altıma edicem ,mutlu,anasayfa an komik alt edicem
güzel haberi duydum yaşasın nuriye semih haklı direnişleri ,mutlu,güzel haber duy yaşasın nuri semih hak diren
kasim dünya drama günümüz kutlu ,mutlu,kasim dünya dram gün kutlu
resmini öptüm yattım iyi geceler ,mutlu,resm öp yat iyi gecele
küçük sevimli güldüm ,mutlu,küçük sevimli gül
içimdeki çocuğu seviyorum ,mutlu,iç çocuğ sev
bugün minnoş bebekle parkta eğlendim günlük dozumu almış bulunmaktayım ,mutlu,bugün minnoş bebek park eğlen günlük doz al bulun
oğuzhan uğur’un filmi varmış izledim pişt izlerken eğlendim güzeldi ,mutlu,oğuzhan uğur film var izle pişt izle eğlen güzel
nesquik harika mafya olsam nesquik yerim ,mutlu,nesquik harika mafya ol nesquik ye
alışık olmadığım durum gereksiz mutluyum ,mutlu,alışık ol durum gerek mutlu
şarkımı dinleyip tatlı minnoş tatlı minnoş geceye veda ediyorum iyi geceler ,mutlu,şark dinle tatlı minnoş tatlı minnoş gece veda ed iyi gecele
oha esir aydere gitmiş inanmıyorum bilsem bende uçardım ,surpriz,oha esir ayder git inan bil ben uç
aaa canım çekmedi yediğim ,surpriz,aaa can çek ye
an ciddi olamazsın ,surpriz,an ciddi ol
tahmin ettiğim kişi ciddi olamazsın ,surpriz,tahmin et kişi ciddi ol
oha gerçekten dünyayı gezmeden ülkemi gezeyim ciddi olamazsın orijinal fikrin hemen patentini al ,surpriz,oha gerçekten dünya gez ülke gez ciddi ol orijinal fikr hemen patent al
orta sahada hasan ali oynuyor ciddi olamazsın aykut hoca ,surpriz,orta saha hasa ali oyn ciddi ol aykut ho
“aaa kilo vermişsin” ciddi olamazsın sırrı bozdun ,surpriz,aaa kilo ver ciddi ol sırr boz
kar yağıyor ciddi olamazsın ,surpriz,kar yağ ciddi ol
oha ciddi olamazsın denememiş olamazsın heralde ,surpriz,oha ciddi ol dene ol heralde
şaka yapıyorsun ciddi olamazsın sayın gevşek ,surpriz,şaka yap ciddi ol sayın gevşek
aldığım karara şaşıran insan görünce diyorum inan şaşkınım ,surpriz,al karar şaşır insan gör di inan şaşkın
kübraya kızın fondotensiz halini attım oha bildiğin badana yapıyormuş an şoktayım diyor ,surpriz,kübra kız fondotensiz hal at oha bil badana yap an şok di
dünkü yakışıklı çocuk bulmuş şoktayım ,surpriz,dün yakışıklı çocuk bul şok
şoktayım yola çıktım boluya gidene gittiğime inanamayacağım ,surpriz,şok yol çık bolu gide git inan
spiker hata yapabilir olmasına şaşırdım ,surpriz,spiker hata yap ol şaşır
birinize cevap vereceğimi şaşırdım ,surpriz,biri cevap vereceğ şaşır
robert pattinson müslüman olmuş duyunca şaşırdım ,surpriz,robert pattinson müslüman ol duy şaşır
çaya şeker atan insan gördüm şoktayım ,surpriz,çay şeker at insan gör şok
insanların yıldır sevgilisi şoktayım ,surpriz,insan yıldır sevgili şok
vay arkadaş gözlerime inanamadım şunlarla aynı ülkede yaşamaktan utanıyorum ,surpriz,vay arkadaş göz inan şu aynı ülke yaşa utan
çiçeğe çarpan araba benimdi oha dedim höh ,surpriz,çiçeğ çarp araba ben oha de höh
çocuklara sürpriz yapıp küçük güzel hediyeler almalıyım ,surpriz,çocuk sürpriz yap küçük güzel hediye al
annem seninkilere oy verdim dedi dondum kaldım takip ediyosun altın kelebeki anne ,surpriz,anne se oy ver de don kal takip ediyosun altın kelebek anne
aaa türk oyuncu oynatacak derbide ,surpriz,aaa türk oyun oynat derbi
yok inanmam efsane transfer ,surpriz,yok inan efsane transfer
sürpriz yaparken sürprizle karşılaşmak ,surpriz,sürpriz yap sürpriz karşı
kimsin kedilere hayvan diyorsun inanmıyorum sensin ,surpriz,kim kedi hayvan di inan sensin
durun güzel bi sürpriz istiyorum ,surpriz,dur güzel bi sürpriz ist
hayret ettim yaptıklarıma ,surpriz,hayret et yap
gözlerime inanamadım hasan ali libero ,surpriz,göz inan hasa ali libero
yusuf erdoğan harika asist yaptı gözlerime inanamadım yusuf’muydu tekrar tekrar izliyorum ,surpriz,yusuf erdoğan harika asist yap göz inan yusufmuydu tekrar tekrar izl
iyilik hali indirimi yapılmamış gözlerime inanamadım ,surpriz,iyi hal indirim yap göz inan
bebelerden ilki teşekkürle geldi fizikten kalıyorum diyordu sürpriz oldu ,surpriz,bebe ilk teşekkür gel fizik kal di sürpriz ol
tabiki aniden olunca güzel sürpriz oldu şükür ,surpriz,tabiki aniden ol güzel sürpriz ol şükür
sürprizlere bayılırım ablamın erken gelmesi güzel sürpriz oldu ,surpriz,sürpriz bayıl abla erken gel güzel sürpriz ol
babamın hediyesini söylemedim di unutmuşum yalnız baya sürpriz oldu geldi elinde iphone plus ,surpriz,baba hediye söyle di unut yalnız bay sürpriz ol gel el iphone plus
mükemmel hediye birine yapmam lazım ,surpriz,mükemmel hediye biri yap lazım
sk hynix sürpriz yaptı gddr6 belleklerini piyasaya sürdü ,surpriz,sk hynix sürpriz yap gddr6 bellek piyasa sür
oğlum bugün sürpriz yaptı takdir belgesi getirmiş dk kriminal inceleme yaptım gerçekmiş ,surpriz,oğl bugün sürpriz yap takdir belge getir dk kriminal incel yap gerçek
canım arkadaşım sondül’üm sürpriz yaptı iyiki tanıdım seni… ,surpriz,can arkadaş sondülüm sürpriz yap iyik tanı se
elimi küllükle kesebildim şaşkınım ,surpriz,el kül kes şaşkın
cesaretleriniz geliyor şaşkınım ,surpriz,cesaret gel şaşkın
stalktan geliyorum kimler kimler ayrılmış kimler kimler başkasıyla beraber şaşkınım ,surpriz,stalktan gel kim kim ayrıl kim kim başka beraber şaşkın
olmazdı olmasına şaşkınım ,surpriz,ol ol şaşkın
saatte yoğurt canı çekmiş almaya gitti şaşkınım ,surpriz,saat yoğurt can çek al git şaşkın
nöbeti teslim alıp doğuma girmeyi başardım şaşkınım bahtsızlığa ,surpriz,nöbet teslim al doğu gir başar şaşkın baht
yavşaklıkla adamlık taklidi yapabilmiş şaşkınım ,surpriz,yavşak adam taklidi yap şaşkın
şaşkınım kadarını beklemiyordum kendime gelemiyorum ,surpriz,şaşkın kadar bekle kendi gel
almanyanın borcu varmış oha ara ,surpriz,almanya borc var oha ara
dolu buzdolabına şaşırıyorum aaa para ödemeden yiyebileceğim diyorum ,surpriz,dolu buzdolabına şaşır aaa par öde yi di
video gerçekse hayret ettim hayvanlar aleminin yönüne ,surpriz,video gerçek hayret et hayvan alem yön
yazarken hayret ettim kendime ,surpriz,yaz hayret et kendi
büyük sürpriz aykut kocamanın yanlışları görmeyip yanlış yapmaya ,surpriz,büyük sürpriz aykut koca yanlış gör yanlış yap
samuel etoo sürpriz transfer iddiası ,surpriz,samuel etoo sürpriz transfer iddia
birazdan sürpriz atacağım akıştan ayrılmayın ,surpriz,birazdan sürpriz at ak ayrıl
galatasaraydan göztepe forveti sürpriz beklerdim ,surpriz,galatasaray göztepe forvet sürpriz bekle
oğuzhanı onbirde inatla oynatan hocaya inanmıyorum ,surpriz,oğuzhan onbirde inat oynat hoca inan
gol asist kalesine vay reis kaldı ,surpriz,gol asist kale vay reis kal
vay çoktan cumartesi’den yemeye başlamışız helal akıyor resmen ,surpriz,vay çok cumartesi ye başla helal ak resmen
vay taeyang gelin oldun gidiyorsun ,surpriz,vay taeyang gel ol gid
düşmüşüm batağa vay be ,surpriz,düş batağ vay be
vay be demekki kötü performans gösterenler varmış ,surpriz,vay be demekki kötü performans göster var
önünden geçerken şempanze sesi çıkardın vay inanılmaz etkileyicisin ,surpriz,önünden geç şempanze se çıkar vay inanılmaz etkile
alaçatı muhallebicisindeyim alaçatıda değilim hayret ettim doğrusu ,surpriz,alaçatı muhallebi alaçatı değil hayret et doğrusu
balerin olmanın avantajları sanırım kızın ayağı incinmedi hayret ettim ,surpriz,baler ol avantaj san kız ayağ incin hayret et
uykuyu tutamadığım gecelerde dönüp yazdıklarıma baktığımda hayret ettim ,surpriz,uyku tut gece dön yaz bak hayret et
anlamazsınız hayret ettim ,surpriz,anla hayret et
sinema konusunda baya geride kalmışım hayret ettim ,surpriz,sinema konu bay geri kal hayret et
quaresma penaltı attı takımda talisca atmadı hayret ettim ,surpriz,quaresma penaltı at tak talisca at hayret et
gün önceki gönderiyi görünce hayret ettim ,surpriz,gün önce gönderi gör hayret et
üst sınıflarından görmeye alışık olduğumuz dev ekranı serisinde görmek sürpriz oldu ,surpriz,üst sınıf gör alışık ol dev ekran seri gör sürpriz ol
beşiktaş ezeli rakibinden önemli puan aldı sürpriz oldu ,surpriz,beşiktaş ezeli rakib önem puan al sürpriz ol
bursayı rahat yenerler diyordum kayıp sürpriz oldu ,surpriz,bursa rahat yen di kayıp sürpriz ol
dizinin arka planında uzun eşek oynayan koreliler görmek enteresan sürpriz oldu ,surpriz,diz arka plan uzun eşek oyna korel gör enteresan sürpriz ol
vallahi bende sabrlı olduğumu bilmiyordum sürpriz oldu bugün anladım ,surpriz,vallahi ben sabrlı ol bil sürpriz ol bugün anla
dilekleri gerçek umarım bugün bekliyordum açıkçası sürpriz oldu ,surpriz,dilek gerçek um bugün bekl açıkçası sürpriz ol
inatçı varmış şaşırdım dereceyim sanıyordum ,surpriz,inatçı var şaşır derece san
tepki vereceğimi şaşırdım amk ,surpriz,tepki vereceğ şaşır amk
türkiyede vallahi şaşırdım ,surpriz,türkiye vallahi şaşır
of çabuk geçti kendime şaşırdım an ,surpriz,of çabuk geç kendi şaşır an
days with iu threadi yapıyor aleyna sanmıştım değilmiş şaşırdım ,surpriz,days with iu threadi yap aleyna san değil şaşır
gördüm şaşırdım resim çekenler türk ,surpriz,gör şaşır resim çek türk
doğru konuşurken görüyorum şaşırdım ,surpriz,doğru konuş gör şaşır
izledim şoktayım ,surpriz,izle şok
babam yabancı dizi izlemeye başladı şoktayım ,surpriz,baba yabancı diz izle başla şok
aaa şoktayım bein sports te fb ligin diri takımı dediler oldu bunlara ,surpriz,aaa şok bein sports te fb lig diri tak de ol bu
uzun dönem askerliğin aya çıktığını öğrendiğimden şoktayım ,surpriz,uzun döne asker ay çık öğren şok
annem çay getirdi an şoktayım içsem içmesem bilemedim ,surpriz,anne çay getir an şok iç iç bil
oha dakika fark ettim dünya etrafımda dönüyormuş ,surpriz,oha dakika fark et dünya etraf dön
oha demekten tepki veremiyorum bitince hasiktir dedim galiba ,surpriz,oha de tepki ver bit hasiktir de galiba
ciddi olamazsın saçlar gitti ,surpriz,ciddi ol saç git
ciddi olamazsın resmen karabükte yemek buldum ,surpriz,ciddi ol resmen karabük yemek bul
vagner yapma ciddi olamazsın tekte oynasan olurdu ,surpriz,vagner yap ciddi ol tek oyna ol
ciddi olamazsın fark edemedim sihri bozdun ,surpriz,ciddi ol fark ed sihr boz
evdekiler ilkokul fotoğraflarımı çıkarmış nilay değişmişsin diyolar oha ciddi olamazsın allah allah garip ,surpriz,ev ilkokul fotoğraf çıkar nilay değiş diyolar oha ciddi ol allah allah garip
orta sahada hasan ali oynuyor ciddi olamazsın aykut hoca ,surpriz,orta saha hasa ali oyn ciddi ol aykut ho
oha gerçekten dünyayı gezmeden ülkemi gezeyim ciddi olamazsın orijinal fikrin hemen patentini al ,surpriz,oha gerçekten dünya gez ülke gez ciddi ol orijinal fikr hemen patent al
hadi canım gerçekten hayatta inanmam ,surpriz,hadi can gerçekten hayat inan
fiilimsiler yapım eki kabul ediliyormuş baya şaşkınlık verici bilgi ,surpriz,fiili yapı ek kabul ed bay şaşkın ver bilgi
yüzünüz kızarmadan gülebiliyorsunuz şaşkınlık verici ,surpriz,yüz kızar gül şaşkın ver
fernandao oyunda kaldı bugün gerçekten şaşkınlık verici maç kırmızısı ,surpriz,fernandao oy kal bugün gerçekten şaşkın ver maç kırmızı
şaşkınlık verici olanı duruma şaşırıyorsun babako ,surpriz,şaşkın ver ol durum şaşır babako
gerçekten şaşkınlık verici popomuz donarken olabilir ,surpriz,gerçekten şaşkın ver popo don ol
yok inanmam yalanlarına geldi sayende aklım başıma ,surpriz,yok inan yalan gel saye akl baş
kusursuz yazdı cidden yok inanmam ,surpriz,kusur yaz cidden yok inan
yok inanmam büyük konuşmayayım çocuğuma vursa yakalar parmaklarını satırla keserdim ,surpriz,yok inan büyük konuş çocuğ vur yak parmak satır kes
yok inanmam küçük sanıyordum vallahi şaşırdım ,surpriz,yok inan küçük san vallahi şaşır
deniz baykal yaşıyor yok inanmam ,surpriz,de baykal yaş yok inan
yok inanmam olmaz olmaz deme ,surpriz,yok inan olmaz olmaz de
yok inanmam kanıt lanet ,surpriz,yok inan kanıt lanet
birşeyleri düzeltmek isteyip uğraşmayanlara şaşkınım ,surpriz,birşey düzelt iste uğraş şaşkın
zorlu hayat şartları altında doğal seleksiyona uğramadım şaşkınım ,surpriz,zor hayat şart alt doğal seleksiyon uğra şaşkın
yanımdaki kadın yerini düzeltme bahanesiyle telefonumu dikizledi şaşkınım ,surpriz,yan kadın yer düzelt bahane telefon dikizle şaşkın
esas hacamatçıların meslek örgütü olmasına şaşkınım ,surpriz,esas hacamat meslek örgüt ol şaşkın
yalnız pektemek kısa sürede iyi oynadı şaşkınım ,surpriz,yalnız pektemek kısa süre iyi oyna şaşkın
muavin içip içmediğimi sormak uykumdan uyandırdı şaşkınım ,surpriz,muavin iç iç sor uyku uyan şaşkın
vay bursa deplasmanı numara satış koymuyor şaşkınım ,surpriz,vay bur deplasman numara satış koy şaşkın
yüzünü göstermesine aşırı şaşkınım sehundan beklenmeyen hareketler ,surpriz,yüz göster aşırı şaşkın sehundan bek hareket
hayatımda balık gördüm şaşkınım ,surpriz,hayat balık gör şaşkın
otobüs boş keyfine yer değiştiriyor şaşkınım ,surpriz,otobüs boş keyf ye değiş şaşkın
kuzenim taylor kısa saçlı doğmuş bence dedi dondum kaldım ,surpriz,kuzen taylor kısa saç doğ bence de don kal
okuduğum kitapta adı geçti sayfayı değiştiremedim dondum kaldım saat ,surpriz,oku kitap ad geç sayfa değiş don kal saat
olduğum yere çivilendim resmen dondum kaldım başarılı ,surpriz,ol yer çivile resmen don kal başarı
söyleyecek tek kelime tek çümle bulamadım dondum kaldım ,surpriz,söyle tek kelim tek çümle bul don kal
kız merve dondum kaldım yazayım bilemedim tehlikelisin ,surpriz,kız merv don kal yaz bil tehlike
kitlendim yazacak hakaret bulamıyorum dondum kaldım ,surpriz,kitle yaz hakaret bul don kal
istanbul konya uçağında yanımdaki teyze gidiyorsun sordu dondum kaldım ,surpriz,istanbul konya uçağ yan teyze gid sor don kal
dondum kaldım resmen pozisyon kaçırdılar be ,surpriz,don kal resmen pozisyon kaçır be
hava soğuk şaşkınlıktan dondum kaldım ,surpriz,hava soğuk şaşkın don kal
sürpriz hediyeli kitaplarımız geldi teşekkürler ,surpriz,sürpriz hediye kitap gel teşekkür
sürpriz yapıp lahmacun hediye alabilirsin ,surpriz,sürpriz yap lahmacun hediye al
aaa neyin sorup sonrasında aman boşver diyen insanda garip ,surpriz,aaa ne sor sonra aman boşver di insa garip
aaa serkan resim konusunda yeteneksizmiş ,surpriz,aaa serka resim konu yetenek
annemi yanımda görenler aaa annen genç diyorlar sultanım yaşlanmıyor ,surpriz,anne yan gör aaa anne genç di sultan yaşlan
aaa imkansız dur denerim ,surpriz,aaa imkan dur dene
